Image,Order No.,Order Date (dd-mm-yyyy),Client Name,University/ College Name,Client District,Client State,Client Pin Code,Book No.,Book Sr. No.,Book Date (dd-mm-yyyy),Product Name,Product Quantity,Product Unit,Unit Price (INR/Unit),Total amount (INR),Tax amount (INR),Delivery/Forwarding charges,Grand Total amount including Tax (INR),Dispatched through (Agency Name),Dispatch RR/ GR No.,Dispatch Date (dd-mm-yyyy),Date  of material receipt (dd-mm-yyyy),Autorised signatory from Standard Library Service
,CSL/13-14/36,17-05-2013,The Incharge,Central Science Library,-,Delhi,110007,1,B/19,28-06-2013,Insertion Slips - Printed as per your sample,10000,Th.,150,1500,75,,1575,-,-,-,-,
,-,-,The Vice-Principal,"Delhi Public School,",-,New Delhi,-,1,B/18,28-06-2013,Plastic Reader's Tickets- Fabricated and printed as per your sample. White colour.,1000,Each,5.5,5500,,,,,,,,
,-,-,The Vice-Principal,"Delhi Public School,",-,New Delhi,-,1,B/18,28-06-2013, -do-  -do- Grey Colour.,1000,Each,5.5,5500,1375,,12375,-,-,-,-,
,CSL/13-14/36,17-05-2013,The Incharge,Central Science Library,-,Delhi,110007,1,B/20,28-06-2013,Plastic Pouch for Membership Cards- Made of transparent Plastic,2000,Each,2.5,5000,,,,,,,,
,CSL/13-14/36,17-05-2013,The Incharge,Central Science Library,-,Delhi,110007,1,B/20,28-06-2013,"Plastic Reader's Tickets-Size 2""*3"". Printed both sides as per your sample. Royal Blue.",2000,Each,4.5,9000,1750,,15750,-,-,-,-,
,-,-,Ambience Public School,-,-,New Delhi,-,1,B/21,29-06-2013,"Plastic Reader's Tickets-Size 2""*3"". Printed one sides as per your sample. With printed slips. Green Colour",2000,Each,4.5,9000,,,,,,,,
,-,-,Ambience Public School,-,-,New Delhi,-,1,B/21,29-06-2013, -do-  -do-  -do-  White.,2000,Each,4.5,9000,2250,,20250,-,-,-,-,
,CBSE/ADAD/LIB 2013,31-05-2013,The Dy. Directory/A.L.,"Central Board of Secondary Education,",-,New Delhi,2,1,B/22,29-06-2013,Book Pockets- Bag shaped (Plain) ..,10000,th.,650,6500,,,,,,,,
,CBSE/ADAD/LIB 2013,31-05-2013,The Dy. Directory/A.L.,"Central Board of Secondary Education,",-,New Delhi,2,1,B/22,29-06-2013,"Book Cards- Size 3""*5"". Printed both sides on heavy wt. PINK CARD.",10000,th.,780,7800,,,,,,,,
,CBSE/ADAD/LIB 2013,31-05-2013,The Dy. Directory/A.L.,"Central Board of Secondary Education,",-,New Delhi,2,1,B/22,29-06-2013,  -do-   -do-  GREEN CARD ..,9800,th.,780,7644,1097.2,-0.2,23041,-,-,-,-,
,-,-,The Principal,"Cambridge School,",-,New Delhi,-,1,B/23,29-06-2013,"Book Cards- Size 3""*5"". Printed both sides as per your sample on heavy weight green card stock. ..",4800,th.,780,3744,,,,,,,,
